adverts,sales,airplay,attract
10.256,330,43,10
985.685,120,28,7
1445.563,360,35,7
1188.193,270,33,7
574.513,220,44,5
568.954,170,19,5
471.814,70,20,1
537.352,210,22,9
514.068,200,21,7
174.093,300,40,7
1720.806,290,32,7
611.479,70,20,2
251.192,150,24,8
97.972,190,38,6
406.814,240,24,7
265.398,100,25,5
1323.287,250,35,5
196.65,210,36,8
1326.598,280,27,8
1380.689,230,33,8
792.345,210,33,7
957.167,230,28,6
1789.659,320,30,9
656.137,210,34,7
613.697,230,49,7
313.362,250,40,8
336.51,60,20,4
1544.899,330,42,7
68.954,150,35,8
785.692,150,8,6
125.628,180,49,7
377.925,80,19,8
217.994,180,42,6
759.862,130,6,7
1163.444,320,36,6
842.957,280,32,7
125.179,200,28,6
236.598,130,25,8
669.811,190,34,8
612.234,150,21,6
922.019,230,34,7
50,310,63,7
2000,340,31,7
1054.027,240,25,7
385.045,180,42,7
1507.972,220,37,7
102.568,40,25,8
204.568,190,26,7
1170.918,290,39,7
689.547,340,46,7
