"","Data.All.Data.Group.A.AlbumSales.csv.adverts","Data.All.Data.Group.A.AlbumSales.csv.sales","Data.All.Data.Group.A.AlbumSales.csv.airplay","Data.All.Data.Group.A.AlbumSales.csv.attract"
"1","10.256","330","43","10"
"2","985.685","120","28","7"
"3","1445.563","360","35","7"
"4","1188.193","270","33","7"
"5","574.513","220","44","5"
"6","568.954","170","19","5"
"7","471.814","70","20","1"
"8","537.352","210","22","9"
"9","514.068","200","21","7"
"10","174.093","300","40","7"
"11","1720.806","290","32","7"
"12","611.479","70","20","2"
"13","251.192","150","24","8"
"14","97.972","190","38","6"
"15","406.814","240","24","7"
"16","265.398","100","25","5"
"17","1323.287","250","35","5"
"18","196.65","210","36","8"
"19","1326.598","280","27","8"
"20","1380.689","230","33","8"
"21","792.345","210","33","7"
"22","957.167","230","28","6"
"23","1789.659","320","30","9"
"24","656.137","210","34","7"
"25","613.697","230","49","7"
"26","313.362","250","40","8"
"27","336.51","60","20","4"
"28","1544.899","330","42","7"
"29","68.954","150","35","8"
"30","785.692","150","8","6"
"31","125.628","180","49","7"
"32","377.925","80","19","8"
"33","217.994","180","42","6"
"34","759.862","130","6","7"
"35","1163.444","320","36","6"
"36","842.957","280","32","7"
"37","125.179","200","28","6"
"38","236.598","130","25","8"
"39","669.811","190","34","8"
"40","612.234","150","21","6"
"41","922.019","230","34","7"
"42","50","310","63","7"
"43","2000","340","31","7"
"44","1054.027","240","25","7"
"45","385.045","180","42","7"
"46","1507.972","220","37","7"
"47","102.568","40","25","8"
"48","204.568","190","26","7"
"49","1170.918","290","39","7"
"50","689.547","340","46","7"
